0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.496000000000000000e+08,0.000000000000000000e+00
4.748790527245398539e-05,6.725151239496235181e-43,2.119126652010429189e-54,1.496000000000000000e+08,1.414189819013679733e-03
5.223669579969938189e-04,8.137432999790443064e-41,2.820557573825878510e-51,1.496000000000000000e+08,1.555608800915047642e-02
5.271157485242392547e-03,8.286058842183308389e-39,2.898183302215672935e-48,1.496000000000000000e+08,1.569750699105184610e-01
5.275906275769638026e-02,8.300995403086231760e-37,2.906023288870377399e-45,1.496000000000000000e+08,1.571164888924198255e+00
5.276381154822362696e-01,8.302489798943151148e-35,2.906808064261456683e-42,1.495999999999991953e+08,1.571306307906096933e+01
5.276428642727635676e+00,8.302639245925708426e-33,2.906886549570212011e-39,1.495999999999198318e+08,1.571320449804009058e+02
5.276433391518162352e+01,8.302654190618124843e-31,2.906894398159303412e-36,1.495999999919837117e+08,1.571321863966042656e+03
5.276433866397214842e+02,8.302655677107244386e-29,2.906895181070440294e-33,1.495999991983724833e+08,1.571322002606462411e+04
5.276433913885121001e+03,8.302655027669020547e-27,2.906895064506208503e-30,1.495999198372569382e+08,1.571321738892139110e+05
1.607643391388512100e+04,7.707527392886672360e-26,8.221986516762741261e-29,1.495992558325791061e+08,4.787554081166724209e+05
2.687643391388512100e+04,2.154161315453547814e-25,3.841687577045285770e-28,1.495979201414557993e+08,8.003764927779764403e+05
3.767643391388512100e+04,4.233245519033189304e-25,1.058316930464617586e-27,1.495959127704136074e+08,1.121993983827940654e+06
4.847643391388512100e+04,7.007995191034753735e-25,2.254225627495470554e-27,1.495932337292611003e+08,1.443606437241788022e+06
5.927643391388512100e+04,1.047839677328385495e-24,4.121453129748045184e-27,1.495898830310887992e+08,1.765212409023350570e+06
7.007643391388512100e+04,1.464443330852218064e-24,6.809553905751179334e-27,1.495858606922690868e+08,2.086810455213269452e+06
8.087643391388512100e+04,1.950608444052959041e-24,1.046807776232376016e-26,1.495811667324559987e+08,2.408399131897195242e+06
8.640000000000000000e+04,2.226138582567171522e-24,1.276266029597096718e-26,1.495785064687670469e+08,2.572868775579097681e+06
