0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.774000000000000000e+03,0.000000000000000000e+00
1.846109989895191282e-04,1.033546536966860136e-29,7.192004180581313242e-37,6.773999999999851752e+03,1.414120252259706010e-03
2.030720988884710410e-03,1.250591309729357830e-27,9.572557564351286298e-34,6.773999999982089321e+03,1.555532277484317390e-02
2.049182088783662453e-02,1.273432688140211273e-25,9.836007869234480818e-31,6.773999998176273039e+03,1.569673479867420562e-01
2.051028198773557909e-01,1.275728189368983909e-23,9.862615605180344338e-28,6.773999817298590642e+03,1.571087586135955227e+00
2.051212809772547274e+00,1.275957290577556726e-21,9.865276449108919856e-25,6.773981726578082998e+03,1.571227599445700207e+01
7.051212809772547274e+00,1.507787878616929792e-20,4.007442787057007230e-23,6.773784064527311784e+03,5.401171620323363243e+01
1.205121280977254727e+01,4.404227246412573583e-20,2.000624296293883811e-22,6.773369255512816380e+03,9.230942496019645205e+01
1.705121280977254727e+01,8.816821760326467283e-20,5.666764260495701705e-22,6.772737312720560112e+03,1.306041745554323654e+02
2.205121280977254727e+01,1.474543115246401731e-19,1.225635853156216977e-21,6.771888256238788927e+03,1.688947373715026856e+02
2.705121280977254727e+01,2.218986696338613813e-19,2.262651011093025698e-21,6.770822113057426577e+03,2.071798859218067719e+02
3.205121280977255083e+01,3.114989254779513645e-19,3.763420385599584519e-21,6.769538917067256989e+03,2.454583928889421713e+02
3.705121280977255083e+01,4.162522308167439348e-19,5.813627969819204062e-21,6.768038709058903805e+03,2.837290311630597444e+02
4.205121280977255083e+01,5.361552557088181140e-19,8.498940586512235345e-21,6.766321536721600751e+03,3.219905738802135033e+02
4.705121280977255083e+01,6.712041886119668691e-19,1.190500521074979951e-20,6.764387454641750082e+03,3.602417944607028630e+02
5.205121280977255083e+01,8.213947364981983858e-19,1.611744629316284643e-20,6.762236524301279132e+03,3.984814666474075011e+02
5.705121280977255083e+01,9.867221249832672310e-19,2.122186308382150108e-20,6.759868814075780392e+03,4.367083645441130102e+02
6.205121280977255083e+01,1.167181098470732372e-18,2.730382695681955512e-20,6.757284399232454234e+03,4.749212626538263180e+02
6.705121280977255083e+01,1.362765920310537864e-18,3.444887873563904609e-20,6.754483361927832448e+03,5.131189359170803073e+02
7.205121280977255083e+01,1.573470372972114564e-18,4.274252601936982292e-20,6.751465791205302594e+03,5.513001597502254754e+02
7.705121280977255083e+01,1.799287758231996140e-18,5.227024050985891743e-20,6.748231782992420449e+03,5.894637100837094295e+02
8.205121280977255083e+01,2.040210897375946382e-18,6.311745533986468548e-20,6.744781440098013263e+03,6.276083634003406360e+02
8.705121280977255083e+01,2.296232131415594346e-18,7.536956240229046495e-20,6.741114872209081113e+03,6.657328967735377319e+02
9.205121280977255083e+01,2.567343321319569256e-18,8.911190968057269034e-20,6.737232195887482703e+03,7.038360879055619534e+02
9.705121280977255083e+01,2.853535848259132065e-18,1.044297985802982441e-19,6.733133534566420167e+03,7.419167151657318300e+02
1.020512128097725508e+02,3.154800613868297718e-18,1.214084812621257950e-19,6.728819018546712869e+03,7.799735576286194600e+02
1.070512128097725508e+02,3.471128040518440023e-18,1.401331579760860845e-19,6.724288784992864748e+03,8.180053951122267790e+02
1.120512128097725508e+02,3.802508071607376041e-18,1.606889743973356997e-19,6.719542977928924302e+03,8.560110082161411356e+02
1.170512128097725508e+02,4.148930171862921154e-18,1.831610189634393255e-19,6.714581748234137194e+03,8.939891783596692676e+02
1.220512128097725508e+02,4.510383327660904395e-18,2.076343202132549234e-19,6.709405253638392423e+03,9.319386878199477451e+02
1.270512128097725508e+02,4.886856047357646355e-18,2.341938441274969975e-19,6.704013658717459293e+03,9.698583197700296523e+02
1.320512128097725508e+02,5.278336361636880794e-18,2.629244914710520231e-19,6.698407134888021574e+03,1.007746858316946373e+03
1.370512128097725508e+02,5.684811823871116880e-18,2.939110951371213425e-19,6.692585860402498838e+03,1.045603088539743112e+03
1.420512128097725508e+02,6.106269510497435884e-18,3.272384174932656755e-19,6.686550020343668621e+03,1.083425796527486682e+03
1.470512128097725508e+02,6.542696021407708466e-18,3.629911477294260195e-19,6.680299806619073934e+03,1.121213769417246112e+03
1.520512128097725508e+02,6.994077480353227933e-18,4.012538992079957129e-19,6.673835417955230696e+03,1.158965795432042341e+03
1.570512128097725508e+02,7.460399535363745608e-18,4.421112068160180513e-19,6.667157059891626886e+03,1.196680663918768687e+03
1.620512128097725508e+02,7.941647359180900588e-18,4.856475243195836524e-19,6.660264944774514333e+03,1.234357165386079714e+03
1.670512128097725508e+02,8.437805649706037746e-18,5.319472217205031633e-19,6.653159291750494958e+03,1.271994091542246906e+03
