4.7487905272454256e-05,-5.930005180481283e-06,-5.605717214530545e-17,0.0
0.0005223669579969969,-5.930005180481283e-06,-6.166288936003009e-16,0.0
0.005271157485242423,-5.930005180481283e-06,-6.2223461083443385e-15,0.0
0.052759062757696686,-5.930005180481283e-06,-6.227951827519304e-14,0.0
0.5276381154822394,-5.9300051804812355e-06,-6.228512418845086e-13,0.0
5.276428642727666,-5.9300051804767065e-06,-6.228568672057901e-12,0.0
52.76433391518193,-5.930005180023683e-06,-6.228576237916916e-11,0.0
527.6433866397246,-5.930005134720972e-06,-6.228596373419186e-10,0.0
5276.433913885151,-5.930000603971763e-06,-6.228789529508699e-09,0.0
48476.43391388515,-5.929618533549536e-06,-5.7240159032082944e-08,0.0
91676.43391388515,-5.928621153875269e-06,-1.0826970296114186e-07,0.0
134876.43391388515,-5.927007034698205e-06,-1.5930753570659906e-07,0.0
178076.43391388515,-5.924774950453582e-06,-2.103437181898631e-07,0.0
221276.43391388515,-5.921923882275229e-06,-2.6136826293892365e-07,0.0
264476.43391388515,-5.918453019861003e-06,-3.1237113924096154e-07,0.0
307676.43391388515,-5.914361763187676e-06,-3.6334227836764414e-07,0.0
350876.43391388515,-5.9096497240722245e-06,-4.142715788681238e-07,0.0
394076.43391388515,-5.904316727576562e-06,-4.651489119246144e-07,0.0
437276.43391388515,-5.898362813252923e-06,-5.159641267652738e-07,0.0
480476.43391388515,-5.891788236227427e-06,-5.667070561290115e-07,0.0
523676.43391388515,-5.884593468119401e-06,-6.173675217767037e-07,0.0
566876.4339138852,-5.876779197794411e-06,-6.679353400432011e-07,0.0
610076.4339138852,-5.868346331949004e-06,-7.184003274244008e-07,0.0
653276.4339138852,-5.859295995525571e-06,-7.687523061935769e-07,0.0
696476.4339138852,-5.849629531955746e-06,-8.18981110041063e-07,0.0
739676.4339138852,-5.839348503231251e-06,-8.690765897313279e-07,0.0
782876.4339138852,-5.828454689801058e-06,-9.190286187714012e-07,0.0
826076.4339138852,-5.816950090294249e-06,-9.68827099084581e-07,0.0
869276.4339138852,-5.804836921067896e-06,-1.0184619666832765e-06,0.0
912476.4339138852,-5.792117615579892e-06,-1.0679231973348539e-06,0.0
955676.4339138852,-5.7787948235865364e-06,-1.1172008122142899e-06,0.0
998876.4339138852,-5.764871410165207e-06,-1.1662848835374562e-06,0.0
1042076.4339138852,-5.750350454562544e-06,-1.215165540168851e-06,0.0
1085276.4339138852,-5.735235248868916e-06,-1.2638329731976102e-06,0.0
